Test Case ID	Test Case Description	Test Case Procedure	Expected Results	Pre-conditions
Scheduler-1	Block generate when majors missing	1) Do not select majors A/B; 2) Generate	Warning shown to select required info	Create Schedule screen open
Scheduler-2	Detect room OFF conflicts	1) Generate schedules; 2) Check same day/slot per room	No two OFF slots share same room-day-slot	Rooms exist; offline slots generated
Scheduler-3	Detect lecturer conflicts	1) Generate schedules; 2) Check same day/slot per lecturer	No lecturer double-booking	Lecturers/mappings exist
Scheduler-4	Drag-and-drop swap slot	1) Drag A onto empty or slot B; 2) Confirm if prompted	Swap succeeds; no conflicts; UI+DB synced	Two valid slots visible; permissions to edit
Scheduler-5	Edit slot	1) Open Edit; 2) Change room/lecturer/slot; 3) Save	Updated with validations passed	Selected slot exists; room/lecturer available
Scheduler-6	Create slot manually	1) Open Create Slot; 2) Fill all mandatory fields; 3) Save	New slot created and displayed	Rooms, lecturers, groups, subjects available
Scheduler-7	Delete slot	1) Select a slot; 2) Delete; 3) Confirm	Slot removed; identity reset maintained	Slot exists; user can delete
Scheduler-8	Delete all schedules	1) Click Delete all data; 2) Confirm	User DB replaced by base DB; progress bar shown	AppData/app.db available; disk write permitted
Scheduler-9	Export schedules to Excel	1) Click Export; 2) Choose path	.xlsx generated with correct columns/data	At least one schedule exists; write access to path
Scheduler-10	Filter by week/class/room/lecturer	1) Select year/week; 2) Choose mode & value	Timetable shows correct range and filter	Schedules exist spanning the week
Scheduler-11	Display slot time (NewSlot/OldSlot)	1) Observe time column; 2) Compare with rules	HH:mm - HH:mm matches calculation rules	Slots have TypeSlot and SlotTime set

