ID	Title	Steps	Expected	Validation	Status	Date
Room-5	Lọc phòng theo tòa nhà	1) Lọc Building=G; 2) Quan sát danh sách	Chỉ hiển thị phòng thuộc tòa G	Kiểm tra UI filter	Chưa chạy	
Subject-0	Thêm mới môn học thành công	1) Vào Subject Management; 2) Add; 3) Điền SubjectCode/Name hợp lệ; 4) Submit	Môn học được tạo	Valid tất cả field có validate	Chưa chạy	
Subject-1	Validate bắt buộc khi thêm môn học	1) Add; 2) Để trống bắt buộc; 3) Submit	Hiển thị lỗi bắt buộc	Valid tất cả field có validate	Chưa chạy	
Subject-2	Không cho phép trùng SubjectCode	1) Thêm SubjectCode=PRJ301; 2) Thêm lại PRJ301	Bị chặn trùng khóa	Kiểm tra ràng buộc unique	Chưa chạy	
Subject-3	Chặn xóa môn đã được tham chiếu	1) Tạo CurriculumSubject hoặc Lịch dùng môn X; 2) Thử xóa môn X	Bị chặn xóa, thông báo nguyên nhân	Kiểm tra ràng buộc FK	Chưa chạy	
Subject-4	Tìm kiếm/Lọc môn học	1) Nhập từ khóa theo code/name; 2) Quan sát	Hiển thị đúng kết quả lọc	Kiểm tra UI filter	Chưa chạy	
Lecturer-0	Thêm mới giảng viên thành công	1) Vào Lecturer Management; 2) Add; 3) Điền hợp lệ (ID/Account/Name); 4) Submit	Giảng viên được tạo	Valid tất cả field có validate	Chưa chạy	
Lecturer-1	Validate bắt buộc khi thêm giảng viên	1) Add; 2) Bỏ trống bắt buộc; 3) Submit	Hiển thị lỗi bắt buộc	Valid tất cả field có validate	Chưa chạy	
Lecturer-2	Không cho phép trùng LecturerAccount	1) Thêm Account=a@fpt.edu.vn; 2) Thêm lại Account đó	Bị chặn trùng tài khoản	Kiểm tra ràng buộc unique	Chưa chạy	
Lecturer-3	Chặn xóa giảng viên đã có lịch	1) Tạo lịch dùng Lecturer L1; 2) Thử xóa L1	Bị chặn xóa, thông báo nguyên nhân	Kiểm tra ràng buộc FK	Chưa chạy	
Lecturer-4	Tìm kiếm/Lọc giảng viên	1) Nhập từ khóa theo tên/tài khoản; 2) Quan sát	Hiển thị đúng kết quả lọc	Kiểm tra UI filter	Chưa chạy	
Curriculum-0	Thêm mới chương trình đào tạo	1) Vào Curriculum Management; 2) Add; 3) Điền CurriculumCode/Name hợp lệ; 4) Submit	Curriculum được tạo	Valid tất cả field có validate	Chưa chạy	
Curriculum-1	Validate bắt buộc khi thêm curriculum	1) Add; 2) Bỏ trống bắt buộc; 3) Submit	Hiển thị lỗi bắt buộc	Valid tất cả field có validate	Chưa chạy	
Curriculum-2	Không cho phép trùng CurriculumCode	1) Thêm code=SE; 2) Thêm lại code=SE	Bị chặn trùng khóa	Kiểm tra ràng buộc unique	Chưa chạy	
Curriculum-3	Chặn xóa curriculum khi có ràng buộc	1) Tạo GroupClass/CurriculumSubject thuộc curriculum C1; 2) Thử xóa C1	Bị chặn xóa, thông báo nguyên nhân	Kiểm tra ràng buộc FK	Chưa chạy	
Curriculum-4	Liệt kê danh sách majors	1) Gọi/hiển thị GetAllMajor; 2) Quan sát	Danh sách majors trả về đầy đủ	Đúng nguồn dữ liệu	Chưa chạy	
CurriculumSubject-0	Thêm mới mapping Curriculum-Subject	1) Vào CurriculumSubject; 2) Add; 3) Chọn CurriculumCode & SubjectCode hợp lệ; 4) Submit	Mapping được tạo	Valid tất cả field có validate	Chưa chạy	
CurriculumSubject-1	Validate bắt buộc khi thêm mapping	1) Add; 2) Bỏ trống một trong hai trường; 3) Submit	Hiển thị lỗi bắt buộc	Valid tất cả field có validate	Chưa chạy	
CurriculumSubject-2	Không cho phép trùng (CurriculumCode, SubjectCode)	1) Thêm C=SE, S=PRJ301; 2) Thêm lại C=SE, S=PRJ301	Bị chặn bởi composite index IX_CurriculumCode_SubjectCode	Kiểm tra ràng buộc unique	Chưa chạy	
CurriculumSubject-3	Lấy danh sách môn theo CurriculumCode	1) Gọi GetSubjectCodeByCurriculumCode; 2) Quan sát	Trả về đúng danh sách SubjectCode	Đúng nguồn dữ liệu	Chưa chạy	
CurriculumSubject-4	Chặn xóa mapping đang được dùng	1) Dùng mapping trong tạo lịch; 2) Thử xóa mapping	Bị chặn xóa, thông báo nguyên nhân	Kiểm tra ràng buộc FK	Chưa chạy	
LecturerSubject-0	Thêm mới mapping Lecturer-Subject	1) Vào LecturerSubject; 2) Add; 3) Chọn Lecturer & Subject hợp lệ; 4) Submit	Mapping được tạo	Valid tất cả field có validate	Chưa chạy	
LecturerSubject-1	Validate bắt buộc khi thêm mapping	1) Add; 2) Bỏ trống Lecturer hoặc Subject; 3) Submit	Hiển thị lỗi bắt buộc	Valid tất cả field có validate	Chưa chạy	
LecturerSubject-2	Không cho phép trùng (LecturerId, SubjectCode)	1) Thêm L1-PRJ301; 2) Thêm lại L1-PRJ301	Bị chặn bởi composite index IX_LecturerId_SubjectCode	Kiểm tra ràng buộc unique	Chưa chạy	
LecturerSubject-3	Lấy giảng viên theo SubjectCode	1) Gọi GetBySubjectCode; 2) Quan sát	Trả về đúng danh sách giảng viên dạy môn đó	Đúng nguồn dữ liệu	Chưa chạy	
LecturerSubject-4	Chặn xóa mapping đang được dùng trong lịch	1) Tạo lịch dùng L1-PRJ301; 2) Thử xóa mapping L1-PRJ301	Bị chặn xóa, thông báo nguyên nhân	Kiểm tra ràng buộc FK	Chưa chạy	
Scheduler-0	Tạo lịch tự động thành công	1) Mở Tạo lịch; 2) Chọn majors cho Group A/B; 3) Chọn ngày bắt đầu; 4) Click Tạo lịch	Lịch được sinh, hiển thị theo tuần, có thông báo thành công	Tiến trình hiển thị đúng	Chưa chạy	
Scheduler-1	Chặn tạo khi thiếu majors	1) Không chọn đủ majors A/B; 2) Click Tạo lịch	Hiển thị cảnh báo yêu cầu chọn đủ thông tin	Valid tất cả field có validate	Chưa chạy	
Scheduler-2	Phát hiện trùng phòng OFF	1) Tạo lịch với nhiều lớp dùng phòng; 2) Kiểm tra cùng ngày/slot	Không có 2 slot OFF cùng phòng trùng ngày/slot	Ràng buộc phòng OFF	Chưa chạy	
Scheduler-3	Phát hiện trùng giảng viên	1) Tạo lịch; 2) Kiểm tra cùng ngày/slot cho cùng giảng viên	Không xảy ra trùng giảng viên	Ràng buộc giảng viên	Chưa chạy	
Scheduler-4	Kéo-thả hoán đổi slot	1) Kéo slot A sang ô trống/ô có slot B; 2) Xác nhận nếu có popup	Hoán đổi thành công, không vi phạm ràng buộc	DB & UI đồng bộ	Chưa chạy	
Scheduler-5	Chỉnh sửa slot (Edit)	1) Mở form Edit; 2) Sửa phòng/giảng viên/slot hợp lệ; 3) Save	Cập nhật thành công, kiểm tra ràng buộc trước khi lưu	Valid tất cả field có validate	Chưa chạy	
Scheduler-6	Tạo slot thủ công	1) Mở dialog Create Slot; 2) Nhập đủ trường; 3) Save	Slot mới được tạo, hiển thị đúng	Valid tất cả field có validate	Chưa chạy	
Scheduler-7	Xóa slot	1) Chọn slot; 2) Xóa và xác nhận	Slot bị xóa, identity reset đảm bảo toàn vẹn	DB cập nhật	Chưa chạy	
Scheduler-8	Xóa toàn bộ lịch	1) Chọn Xóa toàn bộ dữ liệu; 2) Xác nhận	Dữ liệu bị xóa và reset về DB gốc, có thanh tiến trình	Transaction & reset identity	Chưa chạy	
Scheduler-9	Xuất Excel	1) Click Xuất Excel; 2) Chọn đường dẫn lưu	Tạo file .xlsx đúng cột và dữ liệu	Đúng định dạng/tên cột	Chưa chạy	
Scheduler-10	Lọc theo tuần/lớp/phòng/giảng viên	1) Chọn năm/tuần; 2) Chọn chế độ CLASS/ROOM/LECTURER và giá trị lọc	Bảng thời khóa biểu hiển thị đúng theo filter	Đúng phạm vi ngày	Chưa chạy	
Scheduler-11	Hiển thị giờ Slot đúng (NewSlot/OldSlot)	1) Quan sát cột thời gian theo slot/type; 2) Đối chiếu quy tắc	Chuỗi HH:mm - HH:mm đúng quy tắc tính	Đúng thuật toán tính giờ	Chưa chạy	

